City_Name,n,AcresNeeded_to_HighIncomeUHI,AcresNeeded_to_HighIncomeCanopyPercent,PercentNeeded_to_HighIncomeCanopyPercent,AcresNeeded_to_HighIncomeUHI_Lim,AcresNeeded_to_HighIncomeCanopyPercent_Lim,HiInco_CanAcres,HiInco_CanopyPercent,LoInco_CanAcres,LoInco_CanopyPercent,HiLo_TreeGap_Perc,HiLo_TreeGap_Acres,Potential_Acres,Total_Area_Acres,Potential_Acres_vs_AcresNeeded_to_HighIncomeUHI,Potential_Acres_vs_AcresNeeded_to_HighIncomeCanopyPercent,Total_CanopyAcres,Total_CanopyPercent,Current_Avg_UHI,Current_Std_UHI,Modeled_Avg_UHI,Modeled_Std_UHI,MinPot_Avg_UHI,MinPot_Std_UHI,TGPot_Avg_UHI,TGPot_Std_UHI,MinDiff_Avg_UHI,MinDiff_Std_UHI,TGDiff_Avg_UHI,TGDiff_Std_UHI,UGPot_Avg_UHI_Lim,UGPot_Std_UHI_Lim,TGPot_Avg_UHI_Lim,TGPot_Std_UHI_Lim,UGDiff_Avg_UHI_Lim,UGDiff_Std_UHI_Lim,TGDiff_Avg_UHI_Lim,TGDiff_Std_UHI_Lim,HiInco_UHI,LoInco_UHI,HiLo_UHIGap,Regr_r2,Regr_slope,SlopeConf95Low,SlopeConf95High,Income_Quartile_1_MaxVal,Income_Quartile_2_MaxVal,Income_Quartile_3_MaxVal,Income_Quartile_1_Population,Income_Quartile_2_Population,Income_Quartile_3_Population,Income_Quartile_4_Population,Total_Population,Pot_kW_Low,Pot_kW_High
"Los Angeles--Long Beach--Anaheim, CA",7541,514937.87,65907.09999999999,6.212329731340028,177282.25,61382.420000000006,254405.72641000003,23.98,153513.380365,14.47,9.51,100892.34604500004,284379.54,1060907.95,284379.54,65907.09999999999,214494.11,20.217975555749206,6.155577439682679,2.405688240102408,5.959647446227546,2.0144683979808287,5.177233259681012,2.5013312433743438,5.9289684790278,2.332832502173095,0.9785514239006317,0.4362135811958957,0.22676782919762267,0.2302569100569632,5.5462559424689015,2.1010051526427382,5.944586436174789,2.3433672683797786,0.610056436847325,0.5189285792279931,0.21120563890580707,0.21020801830741026,4.88,7.58,2.7,0.59,-3.65,-4.18,-3.12,48750.0,69375.0,96068.0,3273135.0,3205711.0,3035582.0,2841080.0,12355508.0,83762.98,341300.81000000006
"San Francisco--Oakland, CA",2219,128052.12999999999,18585.550000000003,5.620129100992834,46945.49,17803.67,63923.563861999995,19.33,27976.893444000005,8.46,10.869999999999997,35946.670417999994,78096.17,330696.14,78096.17,18585.550000000003,72747.69,21.99834869557292,3.7412919007763437,2.2425618243151364,3.366064365613702,1.6597020931793778,2.9552832394717394,2.257750406125332,3.5542138124140186,2.1584861385050167,0.7859679278385288,0.29006719782825524,0.18689850537717193,0.20160256183076225,3.2685268666879512,1.979251335874481,3.562057687458946,2.162814039474296,0.4724157947534555,0.411703769425082,0.17906354576742262,0.19156217054231375,3.02,4.84,1.8199999999999998,0.48,-3.33,-4.15,-2.51,72231.0,102344.0,138750.0,882218.0,881066.0,873539.0,824225.0,3461048.0,0.0,0.0
"San Diego, CA",1707,622839.23,18556.48,3.973120424464564,75347.66,18320.449999999997,74261.03427,15.9,43482.404343,9.31,6.59,30778.629927,122085.63,467050.53,122085.63,18556.48,66654.02,14.271265252605536,0.5947762943337201,2.24678123030412,0.5285899118881205,2.0190141156933263,0.31529710500489105,2.2593921407072903,0.5521116428237433,2.242131786811736,0.27876121712141083,0.0966718909382818,0.042239371829853184,0.04533594271415183,0.42255892569054576,2.1491477604244427,0.5526838063967083,2.242486760124726,0.17213597552281976,0.14972456958290425,0.041757739146554444,0.04471081532841421,-0.33,1.74,2.07,0.76,-1.07,-2.03,-0.11,54330.5,76765.0,101376.0,787309.0,748385.0,788953.0,851323.0,3175970.0,4283.72,11554.099999999999
"Sacramento, CA",1053,36056.57000000001,16807.78,5.72575060248405,31349.979999999996,16517.22,63142.000568999996,21.51,52075.27150599999,17.74,3.770000000000003,11066.729063000006,73429.76999999999,293547.19,36056.57000000001,16807.78,59740.92999999999,20.351388817586702,0.7581820725315067,1.5396734143509776,0.6955849684679318,1.2464165024689793,-1.5152102835663324,1.6034418188551807,0.2380511153930651,1.3042421367584376,2.2735281782121644,0.8594501083164159,0.5206213198634264,0.5592422611331297,-0.2111399056485603,0.8715821230340753,0.24701784711344027,1.295949006920198,0.9704411430407492,0.8902344478214553,0.5115583078822863,0.5480088684202399,-0.06,0.96,1.02,0.69,-9.09,-9.62,-8.55,48327.0,69606.0,95119.0,417652.0,433748.0,442380.0,544834.0,1838614.0,0.0,0.0
"San Jose, CA",992,21471.649999999998,9595.559999999998,5.5690532163801745,17891.56,9589.779999999999,35476.870614,20.59,22709.332428,13.18,7.41,12767.538185999998,42875.130000000005,172301.45999999996,21471.649999999998,9595.559999999998,33428.79,19.40133879306653,1.8278162640061208,1.781951154116386,1.7481579616330591,1.7556229949762643,-0.3052467500855767,1.9911945925437589,1.3504274717114995,1.5655494163296233,2.1329177083003246,0.6388471581638372,0.477264759103028,0.4436825204014618,0.9353936327643424,1.2149532309267561,1.3507067833319581,1.5658032576474306,0.8900098768751004,0.815686045757132,0.4769670077084664,0.4432224813123999,1.22,3.2,1.9800000000000002,0.77,-8.57,-9.37,-7.78,88064.5,123031.5,158759.5,464798.0,454777.0,450032.0,389812.0,1759419.0,0.0,0.0
"Riverside--San Bernardino, CA",984,47347.21000000001,19429.700000000004,5.859431956846172,45689.41,19398.940000000002,67115.230776,20.24,53188.15719599999,16.04,4.199999999999999,13927.073580000004,117732.33,331596.99,47347.21000000001,19429.700000000004,52489.28,15.82923898072778,0.9171400865249109,1.841516204765115,0.8504918256344848,1.447833060538579,-3.626292034798024,2.1201052550510413,0.16775565423558278,1.5688922561635206,4.543530339946693,1.2529025308256705,0.749707281420136,0.6726163823893927,-0.8487522501335131,0.677891202331888,0.16893103281787933,1.5676381239291937,1.7636184945466484,1.3977007796549459,0.7485045684522045,0.6712723573746722,-0.69,1.97,2.66,0.63,-12.8,-14.04,-11.56,45258.5,61278.5,82550.0,454586.0,459453.0,504788.0,607209.0,2026036.0,119234.68000000001,314281.47000000003
"Fresno, CA",402,14020.38,6998.719999999999,6.546918466042125,12769.989999999998,6958.29,21251.914823999996,19.88,16387.920233999997,15.33,4.549999999999999,4863.994589999998,24260.78,106900.98000000001,14020.38,6998.719999999999,15653.169999999998,14.642681479627218,1.5188266655740663,1.3321754978403357,1.5199607300138875,1.064741810877595,-0.7939463090048379,1.3435718379066548,0.8512764055109691,1.058330695536462,2.3123438494202766,0.7755095566819425,0.6671551205611024,0.5320326109261411,0.30139473744768286,0.6549660366762922,0.8551078390488094,1.0575758182634023,1.217537501527114,0.9129889127188024,0.663323687023262,0.5294963548273062,0.35,1.89,1.54,0.7,-10.19,-11.61,-8.77,32045.0,47392.0,74764.75,158815.0,154087.0,168917.0,218748.0,700567.0,0.0,0.0
"Concord, CA",366,23249.57,6554.450000000001,5.330745407285232,13815.35,6399.3499999999985,29361.79728,23.88,25955.92716,21.11,2.7699999999999996,3405.8701199999996,30668.07,122955.6,23249.57,6554.450000000001,30383.479999999996,24.710936305463104,0.5922053017512011,1.511671079638457,0.5032142895484223,1.2442198433560046,-0.5236229183542677,1.5270172692757387,0.35350213817020115,1.3715172875482844,1.1156562490850357,0.31500708057146576,0.23842583664347128,0.2950043283491952,0.08864937668556777,1.13175297095624,0.3593049531700873,1.3789023303905241,0.5025856252175581,0.5231979695272847,0.2327555768098403,0.2857281625137664,0.13,1.36,1.23,0.63,-4.47,-5.59,-3.36,92690.0,120635.0,161998.75,139796.0,162907.0,169748.0,192908.0,665359.0,0.0,0.0
"Mission Viejo--Lake Forest--San Clemente, CA",354,13579.810000000001,4271.58,4.980174694004513,8810.990000000002,4152.049999999999,26263.291478000003,30.62,23895.992834,27.86,2.7600000000000016,2367.2986440000022,26670.149999999998,85771.69,13579.810000000001,4271.58,23451.48,27.341748775149465,0.6583588780866974,2.0145125525463237,0.6550004028135623,1.5739913365398384,-0.8775737390740463,2.0618573564204006,0.4121719287564463,2.0554630188833767,1.5359685404356611,0.5119571803796357,0.2461817145027689,0.2892187312065749,0.1505774562679131,1.518567331663142,0.4190615773106487,2.054148485627667,0.5075080950369522,0.6693815378879971,0.2393087147985542,0.27703664976101544,0.73,1.56,0.8300000000000001,0.68,-4.94,-6.84,-3.04,80007.25,109180.5,143320.0,123837.0,135906.0,137937.0,174768.0,572448.0,5441.09,28200.93
"Bakersfield, CA",281,7662.58,3136.3199999999997,3.611249506468784,7404.45,3136.3199999999997,9423.074185000001,10.85,7764.265733999999,8.94,1.9100000000000001,1658.8084510000026,24382.05,86848.61000000002,7662.58,3136.3199999999997,7111.25,8.188098807798996,2.228570178613106,1.3199519422755466,2.202112214576606,1.1345099349011178,-1.5056960819522613,2.016179909479373,1.7487913427745128,1.1053137976582141,3.7349692413039186,1.1892677757829169,0.4804990534678677,0.4250985565995968,1.0951042682202972,0.5686400565934129,1.7487913427745128,1.1053137976582141,1.133628454157182,0.9770464342703123,0.4804990534678677,0.4250985565995968,1.26,2.8,1.5399999999999998,0.78,-13.3,-15.22,-11.39,33468.0,47045.0,69293.0,103455.0,129904.0,134243.0,196167.0,563769.0,0.0,0.0
